host=IMM32
1 processors ended work (140 iterations,10.0456 simsec) in 125.119 seconds, mesh=12x12x12
2 processors ended work (140 iterations,10.0456 simsec) in 125.119 seconds, mesh=12x12x12
1 processors ended work (140 iterations,10.0456 simsec) in 13.072 seconds, mesh=12x12x12
12 processors ended work (140 iterations,10.0456 simsec) in 11.9791 seconds, mesh=12x12x12
1 processors ended work (1340 iterations,100.051 simsec) in 125.119 seconds, mesh=12x12x12
2 processors ended work (1340 iterations,100.051 simsec) in 108.756 seconds, mesh=12x12x12
3 processors ended work (1340 iterations,100.051 simsec) in 104.17 seconds, mesh=12x12x12
4 processors ended work (1340 iterations,100.051 simsec) in 150.345 seconds, mesh=12x12x12
5 processors ended work (3492 iterations,100.068 simsec) in 299.993 seconds, mesh=12x12x12
6 processors ended work (1340 iterations,100.051 simsec) in 126.135 seconds, mesh=12x12x12
7 processors ended work (3611 iterations,100.042 simsec) in 310.117 seconds, mesh=12x12x12
8 processors ended work (1340 iterations,100.051 simsec) in 91.0127 seconds, mesh=12x12x12
9 processors ended work (1340 iterations,100.051 simsec) in 100.533 seconds, mesh=12x12x12
10 processors ended work (3492 iterations,100.068 simsec) in 272.367 seconds, mesh=12x12x12
11 processors ended work (3442 iterations,100.061 simsec) in 314.965 seconds, mesh=12x12x12
12 processors ended work (1340 iterations,100.051 simsec) in 122.799 seconds, mesh=12x12x12
13 processors ended work (2904 iterations,100.012 simsec) in 465.569 seconds, mesh=12x12x12
14 processors ended work (3611 iterations,100.042 simsec) in 401.882 seconds, mesh=12x12x12
15 processors ended work (3492 iterations,100.068 simsec) in 362.87 seconds, mesh=12x12x12
16 processors ended work (1340 iterations,100.051 simsec) in 109.126 seconds, mesh=12x12x12
17 processors ended work (2904 iterations,100.012 simsec) in 484.816 seconds, mesh=12x12x12
18 processors ended work (1340 iterations,100.051 simsec) in 107.225 seconds, mesh=12x12x12
19 processors ended work (2904 iterations,100.012 simsec) in 244.461 seconds, mesh=12x12x12
20 processors ended work (3492 iterations,100.068 simsec) in 375.399 seconds, mesh=12x12x12
21 processors ended work (3611 iterations,100.042 simsec) in 481.573 seconds, mesh=12x12x12
22 processors ended work (3442 iterations,100.061 simsec) in 357.622 seconds, mesh=12x12x12
23 processors ended work (2904 iterations,100.012 simsec) in 243.226 seconds, mesh=12x12x12
24 processors ended work (1340 iterations,100.051 simsec) in 111.432 seconds, mesh=12x12x12
25 processors ended work (7427 iterations,100 simsec) in 933.057 seconds, mesh=12x12x12
26 processors ended work (2904 iterations,100.012 simsec) in 228.538 seconds, mesh=12x12x12
28 processors ended work (3611 iterations,100.042 simsec) in 309.136 seconds, mesh=12x12x12
29 processors ended work (2904 iterations,100.012 simsec) in 257.23 seconds, mesh=12x12x12
30 processors ended work (3492 iterations,100.068 simsec) in 272.648 seconds, mesh=12x12x12
31 processors ended work (2904 iterations,100.012 simsec) in 250.621 seconds, mesh=12x12x12
32 processors ended work (1340 iterations,100.051 simsec) in 121.476 seconds, mesh=12x12x12
1 processors ended work (98 iterations,1.00548 simsec) in 160.156 seconds, mesh=32x32x32
2 processors ended work (98 iterations,1.00548 simsec) in 98.0325 seconds, mesh=32x32x32
3 processors ended work (244 iterations,1.00601 simsec) in 368.645 seconds, mesh=32x32x32
3 processors ended work (167 iterations,1.01154 simsec) in 219.439 seconds, mesh=32x32x32
4 processors ended work (98 iterations,1.00548 simsec) in 64.4496 seconds, mesh=32x32x32
6 processors ended work (98 iterations,1.00548 simsec) in 61.5283 seconds, mesh=32x32x32
8 processors ended work (98 iterations,1.00548 simsec) in 45.2609 seconds, mesh=32x32x32
9 processors ended work (98 iterations,1.00548 simsec) in 53.5743 seconds, mesh=32x32x32
10 processors ended work (98 iterations,1.00548 simsec) in 62.6425 seconds, mesh=32x32x32
12 processors ended work (98 iterations,1.00548 simsec) in 42.4486 seconds, mesh=32x32x32
14 processors ended work (98 iterations,1.00548 simsec) in 59.613 seconds, mesh=32x32x32
15 processors ended work (98 iterations,1.00548 simsec) in 45.7165 seconds, mesh=32x32x32
16 processors ended work (98 iterations,1.00548 simsec) in 55.2311 seconds, mesh=32x32x32
18 processors ended work (98 iterations,1.00548 simsec) in 56.2595 seconds, mesh=32x32x32
20 processors ended work (98 iterations,1.00548 simsec) in 47.9051 seconds, mesh=32x32x32
21 processors ended work (98 iterations,1.00548 simsec) in 55.6093 seconds, mesh=32x32x32
28 processors ended work (98 iterations,1.00548 simsec) in 47.3894 seconds, mesh=32x32x32
30 processors ended work (98 iterations,1.00548 simsec) in 37.8208 seconds, mesh=32x32x32
22 processors ended work (98 iterations,1.00506 simsec) in 68.4847 seconds, mesh=32x32x32
25 processors ended work (98 iterations,1.00548 simsec) in 49.5651 seconds, mesh=32x32x32
26 processors ended work (2474 iterations,1.00113 simsec) in 2230.71 seconds, mesh=32x32x32
32 processors ended work (98 iterations,1.00548 simsec) in 32.3974 seconds, mesh=32x32x32
1 processors ended work (397 iterations,1.00167 simsec) in 5129.92 seconds, mesh=64x64x64
2 processors ended work (397 iterations,1.00167 simsec) in 2802.23 seconds, mesh=64x64x64
3 processors ended work (412 iterations,1.00134 simsec) in 2295.24 seconds, mesh=64x64x64
3 processors ended work (478 iterations,1.00146 simsec) in 3197.66 seconds, mesh=64x64x64
18 processors ended work (398 iterations,1.00262 simsec) in 1110.56 seconds, mesh=64x64x64
25 processors ended work (654 iterations,1.00097 simsec) in 2612.98 seconds, mesh=64x64x64
