host=Topsy
1 processors ended work (1339 iterations,100.011 simsec) in 340.601 seconds, mesh=12x12x12
2 processors ended work (1339 iterations,100.011 simsec) in 203.75 seconds, mesh=12x12x12
3 processors ended work (1339 iterations,100.011 simsec) in 183.124 seconds, mesh=12x12x12
4 processors ended work (1339 iterations,100.011 simsec) in 164.769 seconds, mesh=12x12x12
5 processors ended work (3492 iterations,100.054 simsec) in 567.037 seconds, mesh=12x12x12
6 processors ended work (1339 iterations,100.011 simsec) in 197.964 seconds, mesh=12x12x12
7 processors ended work (3611 iterations,100.017 simsec) in 678.929 seconds, mesh=12x12x12
8 processors ended work (1339 iterations,100.011 simsec) in 192.251 seconds, mesh=12x12x12
9 processors ended work (1339 iterations,100.011 simsec) in 213.645 seconds, mesh=12x12x12
10 processors ended work (3492 iterations,100.054 simsec) in 691.58 seconds, mesh=12x12x12
11 processors ended work (3442 iterations,100.061 simsec) in 721.49 seconds, mesh=12x12x12
1 processors ended work (98 iterations,1.00184 simsec) in 394.138 seconds, mesh=32x32x32
2 processors ended work (98 iterations,1.00184 simsec) in 232.383 seconds, mesh=32x32x32
3 processors ended work (98 iterations,1.00184 simsec) in 182.003 seconds, mesh=32x32x32
4 processors ended work (98 iterations,1.00184 simsec) in 145.473 seconds, mesh=32x32x32
5 processors ended work (98 iterations,1.00184 simsec) in 149.699 seconds, mesh=32x32x32
6 processors ended work (98 iterations,1.00184 simsec) in 155.617 seconds, mesh=32x32x32
7 processors ended work (98 iterations,1.00184 simsec) in 160.646 seconds, mesh=32x32x32
8 processors ended work (98 iterations,1.00184 simsec) in 149.146 seconds, mesh=32x32x32
9 processors ended work (98 iterations,1.00184 simsec) in 160.594 seconds, mesh=32x32x32
10 processors ended work (98 iterations,1.00184 simsec) in 155.842 seconds, mesh=32x32x32
1 processors ended work (397 iterations,1.00203 simsec) in 12373.6 seconds, mesh=64x64x64
2 processors ended work (397 iterations,1.00203 simsec) in 7128.29 seconds, mesh=64x64x64
3 processors ended work (397 iterations,1.00203 simsec) in 5277.3 seconds, mesh=64x64x64
4 processors ended work (397 iterations,1.00203 simsec) in 4281.61 seconds, mesh=64x64x64
5 processors ended work (397 iterations,1.00203 simsec) in 4365.68 seconds, mesh=64x64x64
6 processors ended work (397 iterations,1.00203 simsec) in 4307.24 seconds, mesh=64x64x64
7 processors ended work (397 iterations,1.00203 simsec) in 4429.42 seconds, mesh=64x64x64
8 processors ended work (397 iterations,1.00203 simsec) in 4302.72 seconds, mesh=64x64x64
9 processors ended work (397 iterations,1.00203 simsec) in 4377.97 seconds, mesh=64x64x64
10 processors ended work (397 iterations,1.00203 simsec) in 4414.61 seconds, mesh=64x64x64
