
 Sum of times  =    0.0392;
 Total runtime =    0.0679
init timer (per 1 times) =	    0.0328=	  48.3250%
BC_pr timer (per 3 times) =	    0.0064=	   9.4478%
 2th timer (per 0 times) =	    0.0000=	   0.0000%
 3th timer (per 0 times) =	    0.0000=	   0.0000%
 4th timer (per 0 times) =	    0.0000=	   0.0000%
 5th timer (per 0 times) =	    0.0000=	   0.0000%
 6th timer (per 0 times) =	    0.0000=	   0.0000%
 7th timer (per 0 times) =	    0.0000=	   0.0000%
 8th timer (per 0 times) =	    0.0000=	   0.0000%
 9th timer (per 0 times) =	    0.0000=	   0.0000%
10th timer (per 0 times) =	    0.0000=	   0.0000%
11th timer (per 0 times) =	    0.0000=	   0.0000%
12th timer (per 0 times) =	    0.0000=	   0.0000%
13th timer (per 0 times) =	    0.0000=	   0.0000%
14th timer (per 0 times) =	    0.0000=	   0.0000%
15th timer (per 0 times) =	    0.0000=	   0.0000%
16th timer (per 0 times) =	    0.0000=	   0.0000%
17th timer (per 0 times) =	    0.0000=	   0.0000%
18th timer (per 0 times) =	    0.0000=	   0.0000%
19th timer (per 0 times) =	    0.0000=	   0.0000%
20th timer (per 0 times) =	    0.0000=	   0.0000%
21th timer (per 0 times) =	    0.0000=	   0.0000%
22th timer (per 0 times) =	    0.0000=	   0.0000%
23th timer (per 0 times) =	    0.0000=	   0.0000%
24th timer (per 0 times) =	    0.0000=	   0.0000%
25th timer (per 0 times) =	    0.0000=	   0.0000%
26th timer (per 0 times) =	    0.0000=	   0.0000%
27th timer (per 0 times) =	    0.0000=	   0.0000%
28th timer (per 0 times) =	    0.0000=	   0.0000%
29th timer (per 0 times) =	    0.0000=	   0.0000%
30th timer (per 0 times) =	    0.0000=	   0.0000%

 Sum of times  =    7.0010;
 Total runtime =   11.2783
init timer (per 1 times) =	    0.1485=	   1.3170%
BC_pr timer (per 3 times) =	    6.8525=	  60.7581%
 2th timer (per 0 times) =	    0.0000=	   0.0000%
 3th timer (per 0 times) =	    0.0000=	   0.0000%
 4th timer (per 0 times) =	    0.0000=	   0.0000%
 5th timer (per 0 times) =	    0.0000=	   0.0000%
 6th timer (per 0 times) =	    0.0000=	   0.0000%
 7th timer (per 0 times) =	    0.0000=	   0.0000%
 8th timer (per 0 times) =	    0.0000=	   0.0000%
 9th timer (per 0 times) =	    0.0000=	   0.0000%
10th timer (per 0 times) =	    0.0000=	   0.0000%
11th timer (per 0 times) =	    0.0000=	   0.0000%
12th timer (per 0 times) =	    0.0000=	   0.0000%
13th timer (per 0 times) =	    0.0000=	   0.0000%
14th timer (per 0 times) =	    0.0000=	   0.0000%
15th timer (per 0 times) =	    0.0000=	   0.0000%
16th timer (per 0 times) =	    0.0000=	   0.0000%
17th timer (per 0 times) =	    0.0000=	   0.0000%
18th timer (per 0 times) =	    0.0000=	   0.0000%
19th timer (per 0 times) =	    0.0000=	   0.0000%
20th timer (per 0 times) =	    0.0000=	   0.0000%
21th timer (per 0 times) =	    0.0000=	   0.0000%
22th timer (per 0 times) =	    0.0000=	   0.0000%
23th timer (per 0 times) =	    0.0000=	   0.0000%
24th timer (per 0 times) =	    0.0000=	   0.0000%
25th timer (per 0 times) =	    0.0000=	   0.0000%
26th timer (per 0 times) =	    0.0000=	   0.0000%
27th timer (per 0 times) =	    0.0000=	   0.0000%
28th timer (per 0 times) =	    0.0000=	   0.0000%
29th timer (per 0 times) =	    0.0000=	   0.0000%
