host=Amazonka
1 processors ended work (5143 iterations,100 simsec) in 165.446 seconds, mesh=12x12x12
2 processors ended work (5143 iterations,100 simsec) in 91.4477 seconds, mesh=12x12x12
3 processors ended work (5143 iterations,100 simsec) in 126.309 seconds, mesh=12x12x12
4 processors ended work (5143 iterations,100 simsec) in 133.615 seconds, mesh=12x12x12
5 processors ended work (5143 iterations,100 simsec) in 121.433 seconds, mesh=12x12x12
6 processors ended work (5143 iterations,100 simsec) in 120.277 seconds, mesh=12x12x12
7 processors ended work (5143 iterations,100 simsec) in 104.487 seconds, mesh=12x12x12
8 processors ended work (5143 iterations,100 simsec) in 133.051 seconds, mesh=12x12x12
9 processors ended work (5143 iterations,100 simsec) in 131.62 seconds, mesh=12x12x12
10 processors ended work (5143 iterations,100 simsec) in 139.07 seconds, mesh=12x12x12
1 processors ended work (4855 iterations,10.0009 simsec) in 7054.39 seconds, mesh=30x30x30
2 processors ended work (4855 iterations,10.0009 simsec) in 4516.37 seconds, mesh=30x30x30
3 processors ended work (4855 iterations,10.0009 simsec) in 4931.89 seconds, mesh=30x30x30
4 processors ended work (4855 iterations,10.0009 simsec) in 4754.93 seconds, mesh=30x30x30
5 processors ended work (4855 iterations,10.0009 simsec) in 4631.38 seconds, mesh=30x30x30
6 processors ended work (4855 iterations,10.0009 simsec) in 4714.81 seconds, mesh=30x30x30
7 processors ended work (4855 iterations,10.0009 simsec) in 4824.57 seconds, mesh=30x30x30
8 processors ended work (4855 iterations,10.0009 simsec) in 4791.6 seconds, mesh=30x30x30
9 processors ended work (4855 iterations,10.0009 simsec) in 4312.04 seconds, mesh=30x30x30
10 processors ended work (4855 iterations,10.0009 simsec) in 4839.94 seconds, mesh=30x30x30
1 processors ended work (391 iterations,0.200125 simsec) in 4739.95 seconds, mesh=60x60x60
2 processors ended work (391 iterations,0.200125 simsec) in 3007.08 seconds, mesh=60x60x60
3 processors ended work (391 iterations,0.200125 simsec) in 3002.85 seconds, mesh=60x60x60
4 processors ended work (391 iterations,0.200125 simsec) in 3056.38 seconds, mesh=60x60x60
4 processors ended work (391 iterations,0.200125 simsec) in 2416.12 seconds, mesh=60x60x60
5 processors ended work (391 iterations,0.200125 simsec) in 2466.52 seconds, mesh=60x60x60
6 processors ended work (391 iterations,0.200125 simsec) in 2446.95 seconds, mesh=60x60x60
7 processors ended work (391 iterations,0.200125 simsec) in 2700.96 seconds, mesh=60x60x60
8 processors ended work (391 iterations,0.200125 simsec) in 2410.82 seconds, mesh=60x60x60
9 processors ended work (391 iterations,0.200125 simsec) in 2439.82 seconds, mesh=60x60x60
11 processors ended work (391 iterations,0.200125 simsec) in 2793.14 seconds, mesh=60x60x60
1 processors ended work (80 iterations,0.0100543 simsec) in 8616.76 seconds, mesh=120x120x120
2 processors ended work (80 iterations,0.0100543 simsec) in 4751.67 seconds, mesh=120x120x120
3 processors ended work (80 iterations,0.0100543 simsec) in 4502.46 seconds, mesh=120x120x120
4 processors ended work (80 iterations,0.0100543 simsec) in 4633.76 seconds, mesh=120x120x120
5 processors ended work (80 iterations,0.0100543 simsec) in 4584.67 seconds, mesh=120x120x120
6 processors ended work (80 iterations,0.0100543 simsec) in 4463.75 seconds, mesh=120x120x120
7 processors ended work (80 iterations,0.0100543 simsec) in 4454.47 seconds, mesh=120x120x120
8 processors ended work (80 iterations,0.0100543 simsec) in 4318.09 seconds, mesh=120x120x120
9 processors ended work (80 iterations,0.0100543 simsec) in 4389.17 seconds, mesh=120x120x120
10 processors ended work (80 iterations,0.0100543 simsec) in 4343.89 seconds, mesh=120x120x120
