host=IMM64
1 processors ended work (5143 iterations,100.009 simsec) in 79.6698 seconds, mesh=12x12x12
2 processors ended work (5143 iterations,100.009 simsec) in 43.3927 seconds, mesh=12x12x12
3 processors ended work (5143 iterations,100.009 simsec) in 31.6626 seconds, mesh=12x12x12
4 processors ended work (5143 iterations,100.009 simsec) in 23.9894 seconds, mesh=12x12x12
5 processors ended work (5143 iterations,100.009 simsec) in 25.0568 seconds, mesh=12x12x12
6 processors ended work (5143 iterations,100.009 simsec) in 18.1833 seconds, mesh=12x12x12
7 processors ended work (5143 iterations,100.009 simsec) in 18.4174 seconds, mesh=12x12x12
8 processors ended work (5143 iterations,100.009 simsec) in 15.4325 seconds, mesh=12x12x12
9 processors ended work (5143 iterations,100.009 simsec) in 13.9891 seconds, mesh=12x12x12
10 processors ended work (5143 iterations,100.009 simsec) in 14.6095 seconds, mesh=12x12x12
12 processors ended work (5143 iterations,100.009 simsec) in 11.9436 seconds, mesh=12x12x12
16 processors ended work (5143 iterations,100.009 simsec) in 15.0282 seconds, mesh=12x12x12
24 processors ended work (5143 iterations,100.009 simsec) in 22.7198 seconds, mesh=12x12x12
25 processors ended work (5143 iterations,100.009 simsec) in 18.468 seconds, mesh=12x12x12
36 processors ended work (5143 iterations,100.009 simsec) in 33.5773 seconds, mesh=12x12x12
64 processors ended work (5143 iterations,100.009 simsec) in 26.8485 seconds, mesh=12x12x12
1 processors ended work (4856 iterations,10.002 simsec) in 2548.83 seconds, mesh=30x30x30
2 processors ended work (4856 iterations,10.002 simsec) in 1364.18 seconds, mesh=30x30x30
3 processors ended work (4856 iterations,10.002 simsec) in 984.055 seconds, mesh=30x30x30
4 processors ended work (4856 iterations,10.002 simsec) in 716.388 seconds, mesh=30x30x30
5 processors ended work (4856 iterations,10.002 simsec) in 664.659 seconds, mesh=30x30x30
6 processors ended work (4856 iterations,10.002 simsec) in 597.964 seconds, mesh=30x30x30
7 processors ended work (4856 iterations,10.002 simsec) in 583.337 seconds, mesh=30x30x30
8 processors ended work (4856 iterations,10.002 simsec) in 393.909 seconds, mesh=30x30x30
9 processors ended work (4856 iterations,10.002 simsec) in 366.182 seconds, mesh=30x30x30
10 processors ended work (4856 iterations,10.002 simsec) in 389.319 seconds, mesh=30x30x30
12 processors ended work (4856 iterations,10.002 simsec) in 295.767 seconds, mesh=30x30x30
16 processors ended work (4856 iterations,10.002 simsec) in 248.403 seconds, mesh=30x30x30
24 processors ended work (4856 iterations,10.002 simsec) in 191.151 seconds, mesh=30x30x30
25 processors ended work (4856 iterations,10.002 simsec) in 180.752 seconds, mesh=30x30x30
