host=PSTU
1 processors ended work (5143 iterations,100.009 simsec) in 198.165 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 197.81 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 197.76 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 198.087 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 197.832 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 197.647 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 197.821 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 198.618 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 198.22 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 198.236 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 198.572 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 197.077 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 197.64 seconds, mesh=12x12x12
1 processors ended work (5143 iterations,100.009 simsec) in 198.12 seconds, mesh=12x12x12
2 processors ended work (5143 iterations,100.009 simsec) in 102.502 seconds, mesh=12x12x12
3 processors ended work (5143 iterations,100.009 simsec) in 71.8669 seconds, mesh=12x12x12
4 processors ended work (5143 iterations,100.009 simsec) in 54.3171 seconds, mesh=12x12x12
5 processors ended work (5143 iterations,100.009 simsec) in 57.5954 seconds, mesh=12x12x12
6 processors ended work (5143 iterations,100.009 simsec) in 38.0989 seconds, mesh=12x12x12
7 processors ended work (5143 iterations,100.009 simsec) in 39.2668 seconds, mesh=12x12x12
8 processors ended work (5143 iterations,100.009 simsec) in 28.8622 seconds, mesh=12x12x12
9 processors ended work (5143 iterations,100.009 simsec) in 45.6052 seconds, mesh=12x12x12
10 processors ended work (5143 iterations,100.009 simsec) in 42.8872 seconds, mesh=12x12x12
11 processors ended work (5143 iterations,100.009 simsec) in 41.6321 seconds, mesh=12x12x12
12 processors ended work (5143 iterations,100.009 simsec) in 52.483 seconds, mesh=12x12x12
16 processors ended work (5143 iterations,100.009 simsec) in 35.025 seconds, mesh=12x12x12
20 processors ended work (5143 iterations,100.009 simsec) in 35.6812 seconds, mesh=12x12x12
24 processors ended work (5143 iterations,100.009 simsec) in 38.5367 seconds, mesh=12x12x12
36 processors ended work (5143 iterations,100.009 simsec) in 44.2903 seconds, mesh=12x12x12
64 processors ended work (5143 iterations,100.009 simsec) in 38.839 seconds, mesh=12x12x12
1 processors ended work (4856 iterations,10.0012 simsec) in 7578.36 seconds, mesh=30x30x30
2 processors ended work (4856 iterations,10.0012 simsec) in 4371.17 seconds, mesh=30x30x30
3 processors ended work (4856 iterations,10.0012 simsec) in 2585.84 seconds, mesh=30x30x30
4 processors ended work (4856 iterations,10.0012 simsec) in 2023.82 seconds, mesh=30x30x30
5 processors ended work (4856 iterations,10.0012 simsec) in 1659.51 seconds, mesh=30x30x30
6 processors ended work (4856 iterations,10.0012 simsec) in 1382.74 seconds, mesh=30x30x30
7 processors ended work (4856 iterations,10.0012 simsec) in 1352.81 seconds, mesh=30x30x30
9 processors ended work (4856 iterations,10.0012 simsec) in 1028.51 seconds, mesh=30x30x30
10 processors ended work (4856 iterations,10.0012 simsec) in 1196.61 seconds, mesh=30x30x30
20 processors ended work (4856 iterations,10.0012 simsec) in 814.331 seconds, mesh=30x30x30
24 processors ended work (4856 iterations,10.0012 simsec) in 2385.88 seconds, mesh=30x30x30
25 processors ended work (4856 iterations,10.0012 simsec) in 862.433 seconds, mesh=30x30x30
36 processors ended work (4856 iterations,10.0012 simsec) in 3583.68 seconds, mesh=30x30x30
64 processors ended work (4856 iterations,10.0012 simsec) in 1420.05 seconds, mesh=30x30x30
1 processors ended work (391 iterations,0.200073 simsec) in 6586.9 seconds, mesh=60x60x60
2 processors ended work (391 iterations,0.200073 simsec) in 2970.11 seconds, mesh=60x60x60
3 processors ended work (391 iterations,0.200073 simsec) in 1839.39 seconds, mesh=60x60x60
4 processors ended work (391 iterations,0.200073 simsec) in 1306.52 seconds, mesh=60x60x60
5 processors ended work (391 iterations,0.200073 simsec) in 1078.73 seconds, mesh=60x60x60
6 processors ended work (391 iterations,0.200073 simsec) in 852.478 seconds, mesh=60x60x60
7 processors ended work (391 iterations,0.200073 simsec) in 776.623 seconds, mesh=60x60x60
8 processors ended work (391 iterations,0.200073 simsec) in 621.723 seconds, mesh=60x60x60
9 processors ended work (391 iterations,0.200073 simsec) in 795.665 seconds, mesh=60x60x60
10 processors ended work (391 iterations,0.200073 simsec) in 581.167 seconds, mesh=60x60x60
11 processors ended work (391 iterations,0.200073 simsec) in 551.339 seconds, mesh=60x60x60
11 processors ended work (391 iterations,0.200073 simsec) in 552.89 seconds, mesh=60x60x60
24 processors ended work (391 iterations,0.200073 simsec) in 283.681 seconds, mesh=60x60x60
25 processors ended work (391 iterations,0.200073 simsec) in 277.424 seconds, mesh=60x60x60
40 processors ended work (391 iterations,0.200073 simsec) in 143.269 seconds, mesh=60x60x60
64 processors ended work (391 iterations,0.200073 simsec) in 90.7376 seconds, mesh=60x60x60
1 processors ended work (60 iterations,0.00745128 simsec) in 9926.58 seconds, mesh=120x120x120
2 processors ended work (100 iterations,0.0126073 simsec) in 5853.51 seconds, mesh=120x120x120
3 processors ended work (80 iterations,0.0100096 simsec) in 3046.42 seconds, mesh=120x120x120
4 processors ended work (80 iterations,0.0100096 simsec) in 2183.92 seconds, mesh=120x120x120
6 processors ended work (80 iterations,0.0100096 simsec) in 1457.91 seconds, mesh=120x120x120
7 processors ended work (80 iterations,0.0100096 simsec) in 1338.74 seconds, mesh=120x120x120
8 processors ended work (80 iterations,0.0100096 simsec) in 1105.3 seconds, mesh=120x120x120
9 processors ended work (80 iterations,0.0100096 simsec) in 981.243 seconds, mesh=120x120x120
10 processors ended work (80 iterations,0.0100096 simsec) in 931.6 seconds, mesh=120x120x120
11 processors ended work (80 iterations,0.0100096 simsec) in 996.755 seconds, mesh=120x120x120
16 processors ended work (80 iterations,0.0100096 simsec) in 579.412 seconds, mesh=120x120x120
20 processors ended work (80 iterations,0.0100096 simsec) in 483.281 seconds, mesh=120x120x120
24 processors ended work (80 iterations,0.0100096 simsec) in 408.593 seconds, mesh=120x120x120
25 processors ended work (80 iterations,0.0100096 simsec) in 402.512 seconds, mesh=120x120x120
36 processors ended work (80 iterations,0.0100096 simsec) in 418.708 seconds, mesh=120x120x120
64 processors ended work (80 iterations,0.0100096 simsec) in 251.38 seconds, mesh=120x120x120
