host=Topsy
1 processors ended work (5143 iterations,100 simsec) in 364.442 seconds, mesh=12x12x12
2 processors ended work (5143 iterations,100 simsec) in 208.589 seconds, mesh=12x12x12
3 processors ended work (5143 iterations,100 simsec) in 154.027 seconds, mesh=12x12x12
4 processors ended work (5143 iterations,100 simsec) in 205.346 seconds, mesh=12x12x12
5 processors ended work (5143 iterations,100 simsec) in 172.301 seconds, mesh=12x12x12
6 processors ended work (5143 iterations,100 simsec) in 176.601 seconds, mesh=12x12x12
7 processors ended work (5143 iterations,100 simsec) in 176.597 seconds, mesh=12x12x12
8 processors ended work (5143 iterations,100 simsec) in 196.739 seconds, mesh=12x12x12
9 processors ended work (5143 iterations,100 simsec) in 188.843 seconds, mesh=12x12x12
10 processors ended work (5143 iterations,100 simsec) in 191.632 seconds, mesh=12x12x12
11 processors ended work (5143 iterations,100 simsec) in 193.484 seconds, mesh=12x12x12
12 processors ended work (5143 iterations,100 simsec) in 209.703 seconds, mesh=12x12x12
1 processors ended work (4855 iterations,10.0009 simsec) in 12169.5 seconds, mesh=30x30x30
2 processors ended work (4855 iterations,10.0009 simsec) in 6932.23 seconds, mesh=30x30x30
3 processors ended work (4855 iterations,10.0009 simsec) in 5368.01 seconds, mesh=30x30x30
4 processors ended work (4855 iterations,10.0009 simsec) in 5346.13 seconds, mesh=30x30x30
5 processors ended work (4855 iterations,10.0009 simsec) in 5253.36 seconds, mesh=30x30x30
6 processors ended work (4855 iterations,10.0009 simsec) in 5193.22 seconds, mesh=30x30x30
7 processors ended work (4855 iterations,10.0009 simsec) in 5834.37 seconds, mesh=30x30x30
8 processors ended work (4855 iterations,10.0009 simsec) in 5570.89 seconds, mesh=30x30x30
9 processors ended work (4855 iterations,10.0009 simsec) in 5808.14 seconds, mesh=30x30x30
10 processors ended work (4855 iterations,10.0009 simsec) in 5847.86 seconds, mesh=30x30x30
1 processors ended work (391 iterations,0.200125 simsec) in 5914.54 seconds, mesh=60x60x60
2 processors ended work (391 iterations,0.200125 simsec) in 3105.66 seconds, mesh=60x60x60
3 processors ended work (391 iterations,0.200125 simsec) in 3187.94 seconds, mesh=60x60x60
4 processors ended work (391 iterations,0.200125 simsec) in 3409.44 seconds, mesh=60x60x60
5 processors ended work (391 iterations,0.200125 simsec) in 3108.8 seconds, mesh=60x60x60
6 processors ended work (391 iterations,0.200125 simsec) in 2970.88 seconds, mesh=60x60x60
7 processors ended work (391 iterations,0.200125 simsec) in 3037.58 seconds, mesh=60x60x60
8 processors ended work (391 iterations,0.200125 simsec) in 2889.12 seconds, mesh=60x60x60
9 processors ended work (391 iterations,0.200125 simsec) in 2905.18 seconds, mesh=60x60x60
10 processors ended work (391 iterations,0.200125 simsec) in 2963.9 seconds, mesh=60x60x60
11 processors ended work (391 iterations,0.200125 simsec) in 3044.19 seconds, mesh=60x60x60
12 processors ended work (391 iterations,0.200125 simsec) in 2880.41 seconds, mesh=60x60x60
1 processors ended work (80 iterations,0.0100543 simsec) in 14706.1 seconds, mesh=120x120x120
2 processors ended work (80 iterations,0.0100543 simsec) in 8143.27 seconds, mesh=120x120x120
3 processors ended work (80 iterations,0.0100543 simsec) in 5898.7 seconds, mesh=120x120x120
4 processors ended work (80 iterations,0.0100543 simsec) in 4511.75 seconds, mesh=120x120x120
5 processors ended work (80 iterations,0.0100543 simsec) in 4589.65 seconds, mesh=120x120x120
6 processors ended work (80 iterations,0.0100543 simsec) in 4565.37 seconds, mesh=120x120x120
7 processors ended work (80 iterations,0.0100543 simsec) in 4610.1 seconds, mesh=120x120x120
8 processors ended work (80 iterations,0.0100543 simsec) in 4508.3 seconds, mesh=120x120x120
9 processors ended work (80 iterations,0.0100543 simsec) in 4499.18 seconds, mesh=120x120x120
10 processors ended work (80 iterations,0.0100543 simsec) in 4572.72 seconds, mesh=120x120x120
