"{year, month, day, Nxz, Re, r/R, gamma, F(r), Coriolis, shift, mvx, \[Delta]mvx, mvy, \[Delta]mvy, mvz, \[Delta]mvz, Evx, \[Delta]Evx, Evy, \[Delta]Evy, Evz, \[Delta]Evz, m\[Psi], \[Delta]m\[Psi]}, comment"
{2009, 1, 28, 100, 1, 0, 0.0001, "dp", 0, 0, 0., 0, 1.0000641169999993, 1.e-13, 0., 0, 0., 0, 0.2620072789999998, 1.e-13, 0., 0, 0, 0, "ErrScale 1e-4"}
{2009, 1, 28, 100, 1, 0.1, 0.0001, "dp", 0, -0.012423566212872718, 0.0013860005759396847, 3.e-9, 0.9987350047999988, 1.e-13, 0.0006884377668598665, 1.e-8, 2.6765155287444236e-7, 5.e-13, 0.2614073508000001, 5.e-15, 8.962478915671676e-8, 5.e-13, 0.00038957470399999703, 0.00005175525199999946, "ErrScale 1e-4"}
{2009, 1, 28, 100, 1, 0.2, 0.0001, "dp", 0, -0.0750194652927477, 0.0027960925484854337, 1.e-8, 1.0019349079736561, 2.e-11, 0.0014847628958966667, 2.e-8, 1.0769525565555817e-6, 3.e-12, 0.26057594411783574, 5.e-12, 3.616124895036452e-7, 3.e-12, 0.0008022992999999941, 0.00016755603999999856, "ErrScale 1e-4"}
{2009, 1, 28, 100, 1, 0.3, 0.0001, "dp", 0, -0.08713077943138556, 0.004149844421570001, 2.2999999999999998e-8, 0.9944561666709454, 5.e-9, 0.0023167271847031605, 1.e-8, 2.3640456012477998e-6, 2.e-12, 0.2568207563281582, 9.e-10, 8.095264357987868e-7, 1.e-12, 0.0012187407999999906, 0.00035295393999999725, "ErrScale 1e-4"}
{2009, 1, 28, 100, 1, 0.4, 0.0001, "dp", 0, -0.1534141414860951, 0.0057002177290515965, 2.e-8, 1.0070536293592776, 3.e-9, 0.0034139729421066665, 1.e-8, 4.32285798099048e-6, 5.e-12, 0.25599809781739397, 2.e-10, 1.4866377134366664e-6, 5.e-12, 0.0017105390499999869, 0.0006331676839999939, "ErrScale 1e-4"}
{2009, 1, 28, 100, 1, 0.5, 0.0001, "dp", 0, -0.16307727251981705, 0.006963897031755044, 4.e-8, 0.9914576610158286, 3.e-9, 0.00441360177825027, 2.e-8, 6.409359776526237e-6, 1.e-12, 0.2485373695498142, 2.e-9, 2.2883251589659574e-6, 2.e-12, 0.0021471154399999833, 0.000973611399999991, "ErrScale 1e-4"}
{2009, 1, 29, 128, 10, 0, 0.0001, "dp", 0, 0, 0., 0, 1.089010127011359, 0.02, 0, 0, 0., 0, 0.30566698460433794, 0.01, 0., 0, 0, 0, "ErrScale 1e-4"}
{2009, 1, 29, 128, 10, 0.1, 0.0001, "dp", 0, -0.029041683794058398, 0.013880875152893529, 7.e-8, 0.9993037749864769, 2.e-6, 0.006933142315011237, 2.e-7, 0.000026747667683714605, 2.e-10, 0.261273130896995, 7.e-7, 8.929092428370318e-6, 7.e-11, 0.003894208769687499, 0.0004607855624999995, "ErrScale 1e-4"}
{2009, 1, 29, 128, 10, 0.2, 0.0001, "dp", 0, -0.03354122839275727, 0.02734891067715666, 0.0001, 0.9911546594618053, 6.e-7, 0.014303808927846494, 0.0004, 0.000103843705264617, 5.e-7, 0.25786214830308934, 6.e-6, 0.00003507199512239999, 2.e-7, 0.007859975495137502, 0.0015753882812500034, "ErrScale 1e-4"}
{2009, 1, 29, 128, 10, 0.3, 0.0001, "dp", 0, -0.08941399967544619, 0.04135173617197517, 0.00001, 0.9925489180386113, 1.e-7, 0.02308454349530956, 0.00003, 0.00023322798079363912, 7.e-9, 0.255714821904999, 5.e-8, 0.00007900123953423911, 7.e-9, 0.012151597873574999, 0.003422907343749999, "ErrScale 1e-4"}
