"{year, month, day, Nxz, Ny, Re, r/R, lfi, F(r), Coriolis, mvx, \[Delta]mvx, mvy, \[Delta]mvy, mvz, \[Delta]mvz, Evx, \[Delta]Evx, Evy, \[Delta]Evy, Evz, \[Delta]Evz, m\[Phi], \[Delta]m\[Phi]}, comment"
{2006, 5, 18, 10, 10, 1, 0.25, 1., 1, 0, 0.0034773, 0, 0.99565, 0, 0.002059, 0, 0.0001548303056343161, 0, 19.936193983068453, 0, 0.00005176930585290972, 0, 0.0010064624, 0.0004886717218750001, "ErrScale 1e-4"}
{2006, 5, 18, 10, 10, 1, 0.25, 2*Pi, 1, 0, 0.0034773, 0, 0.99565, 0, 0.0020589, 0, 0.00015483081985209976, 0, 19.936193983068453, 0, 0.00005176857229989082, 0, 0.00100646048125, 0.000488678571875, "ErrScale 1e-5"}
{2006, 5, 18, 10, 10, 1, 0.25, 2*Pi, 1, 0, 0.0034773, 0, 0.99565, 0, 0.0020589, 0, 0.0001548309137184463, 0, 19.936193983068453, 0, 0.000051768693045036314, 0, 0.00100646395, 0.00048867796875, "ErrScale 1e-6"}
{2006, 5, 18, 10, 100, 1, 0.25, 2*Pi, 1, 0, 0.0034773, 0, 0.99565, 0, 0.002059, 0, 0.00017031291062355802, 0, 21.92981232372736, 0, 0.00005694629687077318, 0, 0.0010064604738207546, 0.000488671677358491, "ErrScale 1e-4"}
{2006, 5, 18, 10, 4, 1, 0.25, 2*Pi, 1, 0, 0.0034773, 0, 0.99565, 0, 0.002059, 0, 0.00012902533174150794, 0, 16.613494574582845, 0, 0.00004314095431524267, 0, 0.001006461255, 0.0004886688199999998, "ErrScale 1e-4"}
{2006, 5, 18, 10, 4, 1, 0.25, 1.0, 1, 0, 0.0034773, 0, 0.99565, 0, 0.002059, 0, 0.000020535046180451504, 0, 2.6441198847890335, 0, 6.866141788996971e-6, 0, 0.001006461555, 0.0004886694949999999, "ErrScale 1e-4"}
{2006, 5, 18, 10, 4, 1, 0.25, 0.1, 1, 0, 0.0034773, 0, 0.99565, 0, 0.0020589, 0, 2.0535079317370173e-6, 0, 0.2644119884789034, 0, 6.866036399796246e-7, 0, 0.0010064644625, 0.0004886783749999997, "ErrScale 1e-4"}
{2006, 5, 24, 10, 4, 1, 0.25, 0.01, 1, 0, 20.174823497907756, 0, 0.99565, 0, 0.0020589, 0, 3.3693547106918547, 0, 0.026441198847890337, 0, 6.866018454926406e-8, 0, 3.6637489773423195, 7.327500638459639, "ErrScale 1e-4"}
{2006, 5, 19, 10, 4, 1, 0.01, 1., 1, 0, 0.00013814, 0, 0.99917, 0, 0.000073788, 0, 3.387694111569907e-8, 0, 2.689960705948397, 0, 1.1187049918907027e-8, 0, 0.00003942093425, 0.000018970184699999987, "ErrScale 1e-4"}
{2006, 5, 19, 10, 4, 1, 0.1, 1., 1, 0, 0.0013904, 0, 0.99998, 0, 0.00077054, 0, 3.3641663320095594e-6, 0, 2.6803665442128413, 0, 1.1084061058171537e-6, 0, 0.0003982134374999999, 0.00018459680099999976, "ErrScale 1e-4"}
{2006, 5, 19, 10, 4, 2, 0.01, 1., 1, 0, 0.00027628, 0, 0.99917, 0, 0.00014757, 0, 1.3550919504243933e-7, 0, 2.6899675683733726, 0, 4.4748431501443974e-8, 0, 0.00007884318749999999, 0.00003794281849999997, "ErrScale 1e-4"}
{2006, 5, 18, 20, 10, 1, 0.25, 1., 1, 0, 0.0034532, 0, 0.99549, 0, 0.0018533, 0, 0.000023246536145630324, 0, 3.4146079801185794, 0, 7.599829532521343e-6, 0, 0.0009669082374999997, 0.00024238170367187542, "ErrScale 1e-4"}
{2006, 5, 18, 30, 10, 1, 0.25, 1., 1, 0, 0.0034385, 0, 0.99364, 0, 0.0018567, 0, 0.000022864844810989712, 0, 3.4977512378219258, 0, 7.64300951389557e-6, 0, 0.0009532742375072628, 0.0001464868996710637, "ErrScale 1e-4"}
{2006, 5, 19, 40, 10, 1, 0.25, 1., 1, 0, 0.0034293, 0, 0.99227, 0, 0.0018401, 0, 0.0000227013519509349, 0, 3.538833241993381, 0, 7.594384702982364e-6, 0, 0.000941016190625001, 0.00010002129343750193, "ErrScale 1e-4"}
{2006, 5, 19, 50, 10, 1, 0.25, 1., 1, 0, 0.0034307, 0, 0.99179, 0, 0.0018397, 0, 0.000022739055200896, 0, 3.5683852485834695, 0, 7.6326166360678e-6, 0, 0.0009370198334999984, 0.00007783047659999937, "ErrScale 1e-4"}
{2006, 5, 22, 60, 10, 1, 0.25, 1., 1, 0, 0.0034296, 0, 0.99145, 0, 0.0018324, 0, 0.000022772897539297768, 0, 3.5885646137612848, 0, 7.658119941946901e-6, 0, 0.000934563125312874, 0.00006348247081042438, "ErrScale 1e-4"}
{2006, 5, 24, 60, 20, 1, 0.25, 1., 1, 0, 0.0034296, 0, 0.99145, 0, 0.0018324, 0, 0.000024038060529505063, 0, 3.7879292414808368, 0, 8.083571829023413e-6, 0, 0.000934563125312874, 0.00006348081108488421, "ErrScale 1e-4"}
{2006, 5, 25, 60, 30, 1, 0.25, 1., 1, 0, 0.0034296, 0, 0.99145, 0, 0.0018324, 0, 0.000024459780035272442, 0, 3.854384068579857, 0, 8.225388566654569e-6, 0, 0.000934563125312874, 0.00006348081108488438, "ErrScale 1e-4"}
