"{year, month, day, Nxz, Ny, TDV, Re, ksi, chi, r/R, lfi, wall, Rvac, etawall, Rm, m, n, gamma, \[Delta]gamma, omega, \[Delta]omega, kalibr+BC}"
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 5.711986642890532, 0, 2, 1, 223.2, 1, 1, 0., 0.01, 60.3, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 5.983986006837701, 0, 2, 1, 211.9847, 1, 1, 0., 0.001, 51.48, 0.05, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 2*Pi, 0, 2, 1, 201.454, 1, 1, 0., 0.0001, 43.6, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 6.613879270715354, 0, 2, 1, 191.5922, 1, 1, 0., 0.0001, 36.5, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 6.981317007977318, 0, 2, 1, 182.3538, 1, 1, 0., 0.0001, 30.26, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 7.391982714328926, 0, 2, 1, 173.7561, 1, 1, 0., 0.0001, 24.715, 0.05, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 7.853981633974483, 0, 2, 1, 165.8855, 1, 1, 0., 0.0001, 19.9, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 8.377580409572783, 0, 2, 1, 158.9613, 1, 1, 0., 0.0001, 15.716, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 8.975979010256552, 0, 2, 1, 153.4099, 1, 1, 0., 0.0001, 11.85, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 9.66643893412244, 0, 2, 1, 149.8019, 1, 1, 0., 0.0001, 9.2, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 10.471975511965978, 0, 2, 1, 245, 1, 1, -0.18, 0.1, 8.7, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 10.471975511965978, 0, 2, 1, 245, 2, 1, 0., 0.1, 69, 10, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 11.423973285781065, 0, 2, 1, 223, 2, 1, 0., 0.1, 60.3, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1, 0.25, 11.423973285781065, 0, 1, 1, 223, 1, 1, -0.3, 0.1, 5.62, 0.05, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 5.711986642890532, 0, 2, 1, 162.74, 2, 1, 0., 0.05, 86.5, 5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 5.983986006837701, 0, 2, 1, 153.5, 2, 1, 0., 0.05, 71.2, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 2*Pi, 0, 2, 1, 147.14, 2, 1, 0., 0.001, 60.44, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 6.613879270715354, 0, 2, 1, 140.7046, 2, 1, 0., 0.0001, 50.5, 0.05, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 6.981317007977318, 0, 2, 1, 135.5654, 2, 1, 0., 0.0001, 41.885, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 7.391982714328925, 0, 2, 1, 132.3118, 2, 1, 0., 0.00001, 34.458, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 7.853981633974483, 0, 2, 1, 133.201, 2, 1, 0., 0.0001, 28.385, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 8.377580409572781, 0, 2, 1, 165, 2, 1, -0.2, 0.1, 26.6, 0.3, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 8.377580409572781, 0, 2, 1, 167, 3, 1, 0, 0.5, 95, 20, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 8.975979010256552, 0, 2, 1, 153.8, 3, 1, 0, 0.05, 71.3, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 9.66643893412244, 0, 2, 1, 143.7759, 3, 1, 0, 0.0005, 55.28, 0.05, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 10.471975511965978, 0, 2, 1, 135.5788, 3, 1, 0, 0.00005, 41.856, 0.005, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 2, 0.25, 11.423973285781065, 0, 2, 1, 131.9561, 3, 1, 0, 0.00001, 31.2073, 0.001, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 2*Pi, 0, 2, 1, 2445, 1, 1, -1.3, 0.5, 0.1, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 6.613879270715354, 0, 2, 1, 1382, 1, 0.5, 0.3, 0.05, 27.3, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 6.981317007977318, 0, 2, 1, 1014.9, 1, 0.5, 0., 0.001, 330, 50, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 7.391982714328925, 0, 2, 1, 817.6520, 1, 0.5, 0., 0.001, 260, 10, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 7.853981633974483, 0, 2, 1, 693, 1, 0.5, 0., 0.01, 198.5, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 8.377580409572781, 0, 2, 1, 617, 1, 0.5, 0., 0.5, 160, 10, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 8.975979010256552, 0, 2, 1, 527, 1, 0.5, 0., 0.01, 119, 2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 9.66643893412244, 0, 2, 1, 474.7, 1, 0.5, 0., 0.01, 94, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 10.471975511965978, 0, 2, 1, 438, 1, 0.5, 0., 0.2, 73.3, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.5, 0.25, 11.423973285781065, 0, 2, 1, 398.5, 1, 1, 0., 0.05, 54.4, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 2*Pi, 0, 2, 1, 307, 1, 1, 0., 0.05, 87, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.8, 0.25, 6.613879270715354, 0, 2, 1, 289, 1, 1, 0., 0.2, 71, 2, "homogen"}
