"{year, month, day, Nxz, Ny, TDV, Re, ksi, chi, r/R, lfi, wall, Rvac, etawall, Rm, m, n, gamma, \[Delta]gamma, omega, \[Delta]omega, kalibr+BC}"
{2006, 2, 15, 64, 32, 0, 0, Infinity, 1, 0, 2*Pi, 0.3, 2, 0.2, 50, "?", "?", 1.747, 0.004, 6.21, 0.16, "etafl+norm"}
{2006, 2, 16, 64, 32, 0, 0, 18, 1, 0, 2*Pi, 0.3, 2, 0.2, 20, "?", "?", -0.155, 0.005, 3.5, 0.45, "etafl+norm"}
{2006, 2, 16, 64, 32, 0, 0, 18, 1, 0, 2*Pi, 0.3, 2, 0.2, 30, "?", "?", 0.522, 0.003, 4.56, 0.22, "etafl+norm"}
{2006, 2, 19, 64, 32, 0, 0, 18, 1, 1/4, 2*Pi, 0.3, 2, 0.2, 10, "?", "?", -0.96, 0.2, 3, 0.75, "etafl+norm"}
{2006, 2, 19, 64, 32, 0, 0, 18, 1, 1/4, 2*Pi, 0.3, 2, 0.2, 20, "?", "?", -0.31, 0.2, 2.17, 0.75, "etafl+norm"}
{2006, 2, 20, 64, 32, 0, 0, 18, 1, 1/4, 8*Pi/3,0.3,2, 0.2, 10, "?", "?", -0.52, 0.177, 0.7, 0.5, "etafl+norm"}
{2006, 2, 21, 64, 32, 0, 0, 18, 1, 0.3,20*Pi/9,0.333,2.5,0.2,20,"?", "?", 0.08, 0.15, 3.5, 1.2, "etafl+norm"}
{2006, 2, 21, 64, 32, 0, 0, 18, 1, 0.3,20*Pi/9,0.333,2.5,0.2,30,"?", "?", 0.69, 0.008, 3.46, 0.18, "etafl+norm"}
{2006, 2, 22, 64, 32, 0, 0, Infinity, 1, 0.3,20*Pi/9,0.333,2.5,0.2, 20, "?","?", 0.0939, 0.0063, 2.69, 0.15, "etafl+norm"}
{2006, 2, 22, 64, 32, 0, 0, Infinity, 1, 0.3,20*Pi/9,0.333,2.5,0.2, 10, "?","?", -0.628, 0.125, 1.62, 0.15, "etafl+norm"}
{2006, 2, 22, 64, 32, 0, 0, Infinity, 1, 0.3,20*Pi/9,0.333,2.5,0.2, 10, "?","?", -0.174, 0.008, 1.97, 0.21, "etavac+norm"}
{2006, 2, 22, 64, 32, 0, 0, Infinity, 1, 0.3,20*Pi/9,0.333,2.5,0.2, 10, "?","?", -0.305, 0.01, 1.7, 0.5, "etavac+zero"}
{2006, 3, 7, 60, 30, 0, 0, 18, 1, 1/4, 2*Pi, 0.3, 2.5, 0.2, 10, "?", "?", -1.05, 0.5, 3, 2, "etafl+norm"}
{2006, 3, 7, 60, 30, 0, 0, 18, 1, 1/4, 2*Pi, 0.3, 2.5, 0.2, 20, "?", "?", -0.26, 0.1, 2.7, 0.4, "etafl+norm"}
{2006, 3, 7, 60, 30, 0, 0, 18, 1, 1/4, 2*Pi, 0.3, 2.5, 0.2, 30, "?", "?", 0.399, 0.0035, 4.91, 0.42, "etafl+norm"}
{2006, 3, 7, 60, 30, 0, 0, 18, 1, 1/4, 2*Pi, 0.3, 2.5, 0.2, 40, "?", "?", 1.018, 0.0045, 5.89, 0.17, "etafl+norm"}
{2006, 3, 7, 60, 30, 0, 0, 18, 1, 1/4, 2*Pi, 0.3, 2.5, 0.2, 40, "?", "?", 1.24, 0.01, 6.18, 0.22, "etavac+norm"}
{2006, 3, 14, 64, 32, 0, 0, 18, 1, 1/10,2*Pi,0.3, 2.5, 0.2, 30, "?", "?", 0.544663260594242, 0.0008, 4.85, 0.12, "etafl+norm"}
{2006, 3, 14, 64, 32, 0, 0, 18, 1, 1/7, 2*Pi,0.3, 2.5, 0.2, 10, "?", "?", -0.93, 0.04, 2.15, 0.23, "etafl+norm"}
{2006, 3, 14, 64, 32, 0, 0, 18, 1, 1/6, 2*Pi,0.3, 2.5, 0.2, 10, "?", "?", -0.9, 0.08, 2.04, 0.2, "etafl+norm"}
{2006, 3, 14, 64, 32, 0, 0, 18, 1, 1/5, 2*Pi,0.3, 2.5, 0.2, 10, "?", "?", -0.94, 0.143, 1.75, 0.85, "etafl+norm"}
{2006, 3, 20, 64, 32, 0, 0, 18, 1, 1/5, 2*Pi,0.3, 2.5, 0.2, 20, "?", "?", -0.172, 0.018, 3.51, 0.1, "etafl+norm"}
{2006, 3, 20, 64, 32, 0, 0, 18, 1, 1/6, 2*Pi,0.3, 2.5, 0.2, 20, "?", "?", -0.158, 0.015, 3.64, 0.12, "etafl+norm"}
{2006, 3, 20, 64, 32, 0, 0, 18, 1, 1/7, 2*Pi,0.3, 2.5, 0.2, 30, "?", "?", 0.4805, 0.0015, 4.72, 0.16, "etafl+norm"}
