host=Katun
1 processors ended work (1339 iterations,100.011 simsec) in 428.974 seconds, mesh=12x12x12
2 processors ended work (1339 iterations,100.011 simsec) in 471.263 seconds, mesh=12x12x12
3 processors ended work (1339 iterations,100.011 simsec) in 524.142 seconds, mesh=12x12x12
4 processors ended work (1339 iterations,100.011 simsec) in 551.651 seconds, mesh=12x12x12
5 processors ended work (3491 iterations,100.019 simsec) in 1839.25 seconds, mesh=12x12x12
6 processors ended work (1339 iterations,100.011 simsec) in 622.396 seconds, mesh=12x12x12
7 processors ended work (3611 iterations,100.017 simsec) in 2265.51 seconds, mesh=12x12x12
8 processors ended work (1339 iterations,100.011 simsec) in 650.548 seconds, mesh=12x12x12
9 processors ended work (1339 iterations,100.011 simsec) in 700.809 seconds, mesh=12x12x12
10 processors ended work (3491 iterations,100.019 simsec) in 2272.09 seconds, mesh=12x12x12
1 processors ended work (98 iterations,1.00184 simsec) in 508.862 seconds, mesh=32x32x32
2 processors ended work (98 iterations,1.00184 simsec) in 532.575 seconds, mesh=32x32x32
3 processors ended work (98 iterations,1.00184 simsec) in 559.686 seconds, mesh=32x32x32
4 processors ended work (98 iterations,1.00184 simsec) in 547.084 seconds, mesh=32x32x32
5 processors ended work (98 iterations,1.00184 simsec) in 606.495 seconds, mesh=32x32x32
6 processors ended work (98 iterations,1.00184 simsec) in 591.479 seconds, mesh=32x32x32
7 processors ended work (98 iterations,1.00184 simsec) in 630.435 seconds, mesh=32x32x32
8 processors ended work (98 iterations,1.00184 simsec) in 568.025 seconds, mesh=32x32x32
9 processors ended work (98 iterations,1.00184 simsec) in 592.838 seconds, mesh=32x32x32
10 processors ended work (98 iterations,1.00184 simsec) in 613.039 seconds, mesh=32x32x32
10 processors ended work (98 iterations,1.00184 simsec) in 636.892 seconds, mesh=32x32x32
1 processors ended work (397 iterations,1.00203 simsec) in 16304.5 seconds, mesh=64x64x64
2 processors ended work (397 iterations,1.00203 simsec) in 17164.8 seconds, mesh=64x64x64
3 processors ended work (397 iterations,1.00203 simsec) in 17434.5 seconds, mesh=64x64x64
4 processors ended work (397 iterations,1.00203 simsec) in 17511.6 seconds, mesh=64x64x64
5 processors ended work (397 iterations,1.00203 simsec) in 18698.6 seconds, mesh=64x64x64
6 processors ended work (397 iterations,1.00203 simsec) in 17808 seconds, mesh=64x64x64
7 processors ended work (397 iterations,1.00203 simsec) in 18378.3 seconds, mesh=64x64x64
8 processors ended work (397 iterations,1.00203 simsec) in 17639.1 seconds, mesh=64x64x64
9 processors ended work (397 iterations,1.00203 simsec) in 17712.1 seconds, mesh=64x64x64
10 processors ended work (397 iterations,1.00203 simsec) in 18077.9 seconds, mesh=64x64x64
