host=MVS-100
1 processors ended work (6684 iterations,100.008 simsec) in 4877.74 seconds, mesh=12x12x12//anormal
2 processors ended work (6684 iterations,100.008 simsec) in 3155.47 seconds, mesh=12x12x12//anormal
4 processors ended work (6684 iterations,100.008 simsec) in 2344.88 seconds, mesh=12x12x12//anormal
1 processors ended work (1340 iterations,100.061 simsec) in 981.665 seconds, mesh=12x12x12
2 processors ended work (1340 iterations,100.061 simsec) in 634.737 seconds, mesh=12x12x12
3 processors ended work (1340 iterations,100.061 simsec) in 567.725 seconds, mesh=12x12x12
4 processors ended work (1340 iterations,100.061 simsec) in 470.691 seconds, mesh=12x12x12
5 processors ended work (3491 iterations,100.006 simsec) in 1530.94 seconds, mesh=12x12x12
6 processors ended work (1340 iterations,100.061 simsec) in 453.77 seconds, mesh=12x12x12
7 processors ended work (3611 iterations,100.06 simsec) in 1531.91 seconds, mesh=12x12x12
8 processors ended work (1340 iterations,100.061 simsec) in 314.046 seconds, mesh=12x12x12
9 processors ended work (1340 iterations,100.061 simsec) in 381.539 seconds, mesh=12x12x12
10 processors ended work (3491 iterations,100.006 simsec) in 1206.01 seconds, mesh=12x12x12
11 processors ended work (3442 iterations,100.061 simsec) in 1226.46 seconds, mesh=12x12x12
12 processors ended work (1340 iterations,100.061 simsec) in 303.695 seconds, mesh=12x12x12
13 processors ended work (2904 iterations,100.012 simsec) in 1094.92 seconds, mesh=12x12x12
1 processors ended work (98 iterations,1.00464 simsec) in 1230.56 seconds, mesh=32x32x32
2 processors ended work (98 iterations,1.00464 simsec) in 663.808 seconds, mesh=32x32x32
3 processors ended work (98 iterations,1.00464 simsec) in 531.166 seconds, mesh=32x32x32
4 processors ended work (98 iterations,1.00464 simsec) in 376.604 seconds, mesh=32x32x32
5 processors ended work (98 iterations,1.00464 simsec) in 366.966 seconds, mesh=32x32x32
6 processors ended work (98 iterations,1.00464 simsec) in 302.3 seconds, mesh=32x32x32
7 processors ended work (98 iterations,1.00464 simsec) in 307.003 seconds, mesh=32x32x32
8 processors ended work (98 iterations,1.00464 simsec) in 208.258 seconds, mesh=32x32x32
8 processors ended work (98 iterations,1.00464 simsec) in 207.769 seconds, mesh=32x32x32
9 processors ended work (98 iterations,1.00464 simsec) in 234.15 seconds, mesh=32x32x32
10 processors ended work (98 iterations,1.00464 simsec) in 223.177 seconds, mesh=32x32x32
11 processors ended work (98 iterations,1.00531 simsec) in 255.625 seconds, mesh=32x32x32
12 processors ended work (98 iterations,1.00464 simsec) in 175.169 seconds, mesh=32x32x32
13 processors ended work (2462 iterations,1.00184 simsec) in 9566.36 seconds, mesh=32x32x32
1 processors ended work (397 iterations,1.0015 simsec) in 39204.9 seconds, mesh=64x64x64
2 processors ended work (397 iterations,1.0015 simsec) in 20340.3 seconds, mesh=64x64x64
3 processors ended work (397 iterations,1.0015 simsec) in 14230.9 seconds, mesh=64x64x64
4 processors ended work (397 iterations,1.0015 simsec) in 10758.3 seconds, mesh=64x64x64
5 processors ended work (397 iterations,1.0015 simsec) in 9520.55 seconds, mesh=64x64x64
6 processors ended work (397 iterations,1.0015 simsec) in 7539.88 seconds, mesh=64x64x64
7 processors ended work (397 iterations,1.0015 simsec) in 7214.48 seconds, mesh=64x64x64
8 processors ended work (397 iterations,1.0015 simsec) in 5793.75 seconds, mesh=64x64x64
9 processors ended work (397 iterations,1.0015 simsec) in 5664.59 seconds, mesh=64x64x64
10 processors ended work (397 iterations,1.0015 simsec) in 5282.29 seconds, mesh=64x64x64
11 processors ended work (397 iterations,1.0015 simsec) in 5666.36 seconds, mesh=64x64x64
12 processors ended work (397 iterations,1.0015 simsec) in 4299.66 seconds, mesh=64x64x64
13 processors ended work (397 iterations,1.0015 simsec) in 5295.13 seconds, mesh=64x64x64
8 processors ended work (157 iterations,0.100199 simsec) in 16315 seconds, mesh=128x128x128
9 processors ended work (157 iterations,0.100199 simsec) in 15678.7 seconds, mesh=128x128x128
12 processors ended work (157 iterations,0.100199 simsec) in 11595.3 seconds, mesh=128x128x128
