host=Bluegene
1 processors ended work (5143 iterations,100 simsec) in 160.981 seconds, mesh=12x12x12
2 processors ended work (5143 iterations,100 simsec) in 83.7409 seconds, mesh=12x12x12
3 processors ended work (5143 iterations,100 simsec) in 59.4656 seconds, mesh=12x12x12
4 processors ended work (5143 iterations,100 simsec) in 56.8178 seconds, mesh=12x12x12
5 processors ended work (5143 iterations,100 simsec) in 73.145 seconds, mesh=12x12x12
6 processors ended work (5143 iterations,100 simsec) in 81.4897 seconds, mesh=12x12x12
7 processors ended work (5143 iterations,100 simsec) in 66.55 seconds, mesh=12x12x12
8 processors ended work (5143 iterations,100 simsec) in 57.2689 seconds, mesh=12x12x12
9 processors ended work (5143 iterations,100 simsec) in 67.7639 seconds, mesh=12x12x12
10 processors ended work (5143 iterations,100 simsec) in 62.2221 seconds, mesh=12x12x12
11 processors ended work (5143 iterations,100 simsec) in 58.5223 seconds, mesh=12x12x12
12 processors ended work (5143 iterations,100 simsec) in 62.5015 seconds, mesh=12x12x12
1 processors ended work (4855 iterations,10.0009 simsec) in 6641.62 seconds, mesh=30x30x30
2 processors ended work (4855 iterations,10.0009 simsec) in 3039.3 seconds, mesh=30x30x30
3 processors ended work (4855 iterations,10.0009 simsec) in 1986.52 seconds, mesh=30x30x30
4 processors ended work (4855 iterations,10.0009 simsec) in 1496.43 seconds, mesh=30x30x30
5 processors ended work (4855 iterations,10.0009 simsec) in 1791.56 seconds, mesh=30x30x30
6 processors ended work (4855 iterations,10.0009 simsec) in 1886.04 seconds, mesh=30x30x30
7 processors ended work (4855 iterations,10.0009 simsec) in 1641.73 seconds, mesh=30x30x30
8 processors ended work (4855 iterations,10.0009 simsec) in 1659.2 seconds, mesh=30x30x30
9 processors ended work (4855 iterations,10.0009 simsec) in 1873.41 seconds, mesh=30x30x30
10 processors ended work (4855 iterations,10.0009 simsec) in 1794.27 seconds, mesh=30x30x30
12 processors ended work (4855 iterations,10.0009 simsec) in 1678.29 seconds, mesh=30x30x30
1 processors ended work (391 iterations,0.200125 simsec) in 3976.35 seconds, mesh=60x60x60
2 processors ended work (391 iterations,0.200125 simsec) in 1854.48 seconds, mesh=60x60x60
3 processors ended work (391 iterations,0.200125 simsec) in 1237.49 seconds, mesh=60x60x60
4 processors ended work (391 iterations,0.200125 simsec) in 940.874 seconds, mesh=60x60x60
5 processors ended work (391 iterations,0.200125 simsec) in 1032.6 seconds, mesh=60x60x60
6 processors ended work (391 iterations,0.200125 simsec) in 1026.03 seconds, mesh=60x60x60
7 processors ended work (391 iterations,0.200125 simsec) in 1034.11 seconds, mesh=60x60x60
8 processors ended work (391 iterations,0.200125 simsec) in 1023.23 seconds, mesh=60x60x60
9 processors ended work (391 iterations,0.200125 simsec) in 1012.21 seconds, mesh=60x60x60
10 processors ended work (391 iterations,0.200125 simsec) in 991.83 seconds, mesh=60x60x60
11 processors ended work (391 iterations,0.200125 simsec) in 1015.59 seconds, mesh=60x60x60
12 processors ended work (391 iterations,0.200125 simsec) in 981.19 seconds, mesh=60x60x60
1 processors ended work (80 iterations,0.0100543 simsec) in 6591.29 seconds, mesh=120x120x120
2 processors ended work (80 iterations,0.0100543 simsec) in 3233.9 seconds, mesh=120x120x120
3 processors ended work (80 iterations,0.0100543 simsec) in 2188.69 seconds, mesh=120x120x120
4 processors ended work (80 iterations,0.0100543 simsec) in 1656.47 seconds, mesh=120x120x120
5 processors ended work (80 iterations,0.0100543 simsec) in 1753.77 seconds, mesh=120x120x120
6 processors ended work (80 iterations,0.0100543 simsec) in 1677.39 seconds, mesh=120x120x120
7 processors ended work (80 iterations,0.0100543 simsec) in 1729.14 seconds, mesh=120x120x120
8 processors ended work (80 iterations,0.0100543 simsec) in 1673.21 seconds, mesh=120x120x120
9 processors ended work (80 iterations,0.0100543 simsec) in 1684.36 seconds, mesh=120x120x120
10 processors ended work (80 iterations,0.0100543 simsec) in 1688.57 seconds, mesh=120x120x120
10 processors ended work (80 iterations,0.0100543 simsec) in 1681.43 seconds, mesh=120x120x120
12 processors ended work (80 iterations,0.0100543 simsec) in 1726.88 seconds, mesh=120x120x120
